id,latitude,longitude,crime_type,date,time,ipc
1,13.0827,80.2707,Theft,2025-01-05,21,379
2,13.0819,80.2715,Theft,2025-01-06,22,379
3,13.0832,80.2698,Robbery,2025-01-10,23,392
4,13.0841,80.2709,Assault,2025-01-12,19,351
5,13.0808,80.2722,Women Safety,2025-01-15,20,354
6,13.0799,80.2699,Women Safety,2025-01-18,21,509
7,13.0860,80.2731,Theft,2025-01-20,18,380
8,13.0852,80.2689,Robbery,2025-01-22,22,390
9,13.0838,80.2728,Assault,2025-01-26,17,324
10,13.0847,80.2696,Theft,2025-01-28,16,379

11,13.0500,80.2500,Women Safety,2025-03-02,21,376
12,13.0492,80.2493,Women Safety,2025-03-03,22,354
13,13.0511,80.2512,Women Safety,2025-03-05,23,509
14,13.0489,80.2510,Assault,2025-03-06,20,351
15,13.0520,80.2487,Theft,2025-03-08,18,379
16,13.0507,80.2521,Robbery,2025-03-09,21,392
17,13.0478,80.2504,Women Safety,2025-03-11,19,354
18,13.0524,80.2508,Theft,2025-03-12,14,380
19,13.0497,80.2528,Assault,2025-03-14,18,324
20,13.0515,80.2499,Women Safety,2025-03-15,21,509

21,13.0674,80.2376,Assault,2025-06-01,19,351
22,13.0667,80.2368,Assault,2025-06-02,20,324
23,13.0683,80.2382,Robbery,2025-06-03,22,392
24,13.0659,80.2389,Theft,2025-06-04,21,379
25,13.0691,80.2366,Theft,2025-06-05,17,380
26,13.0662,80.2359,NDPS,2025-06-06,23,20
27,13.0671,80.2397,NDPS,2025-06-07,22,21
28,13.0698,80.2387,Arms,2025-06-08,21,25
29,13.0648,80.2374,Assault,2025-06-09,18,351
30,13.0679,80.2361,Robbery,2025-06-10,20,390

31,13.0900,80.2800,Robbery,2025-08-12,23,392
32,13.0892,80.2793,Robbery,2025-08-13,22,391
33,13.0911,80.2812,Theft,2025-08-14,21,379
34,13.0889,80.2810,Assault,2025-08-15,20,324
35,13.0920,80.2787,Women Safety,2025-08-16,19,354
36,13.0907,80.2821,Women Safety,2025-08-17,21,509
37,13.0878,80.2804,Arms,2025-08-18,22,25
38,13.0924,80.2808,NDPS,2025-08-19,23,22
39,13.0897,80.2828,Robbery,2025-08-20,18,392
40,13.0915,80.2799,Theft,2025-08-21,17,380

41,13.1000,80.2600,Accident,2025-02-01,08,0
42,13.0994,80.2608,Accident,2025-02-03,09,0
43,13.1007,80.2592,Accident,2025-02-05,18,0
44,13.1012,80.2616,Accident,2025-02-06,19,0
45,13.0988,80.2611,Accident,2025-02-08,20,0
46,13.1019,80.2589,Accident,2025-02-10,21,0
47,13.0979,80.2604,Accident,2025-02-12,07,0
48,13.1009,80.2623,Accident,2025-02-14,09,0
49,13.0998,80.2586,Accident,2025-02-16,18,0
50,13.1021,80.2607,Accident,2025-02-18,19,0

51,13.0740,80.2610,Theft,2025-11-01,21,379
52,13.0733,80.2622,Theft,2025-11-02,22,379
53,13.0751,80.2604,Robbery,2025-11-03,23,392
54,13.0726,80.2617,Assault,2025-11-04,19,351
55,13.0748,80.2631,Women Safety,2025-11-05,20,354
56,13.0719,80.2609,Women Safety,2025-11-06,21,509
57,13.0760,80.2629,Theft,2025-11-07,18,380
58,13.0738,80.2598,Robbery,2025-11-08,22,390
59,13.0759,80.2619,Assault,2025-11-09,17,324
60,13.0722,80.2634,Theft,2025-11-10,16,379
